track_spotifyID,artist_spotifyID,artist_mbid,artist_name,track_url,track_popularity,track_duration_ms,track_is_local,albumID,album_track_number,album_release_date,album_type
5IaHrVsrferBYDm0bDyABy,5LHRHt1k9lMyONurDHEdrp,ce09ea31-3d4a-4487-a797-e315175457a0,Tyga,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy,80,232959,False,0yd01cU78rnlFXq6vRxPSR,1,2018-05-16,single
5IaHrVsrferBYDm0bDyABy,4DdkRBBYG6Yk9Ka8tdJ9BW,92631c53-91ed-48f5-a09d-a104ba69cdc7,Offset,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy,80,232959,False,0yd01cU78rnlFXq6vRxPSR,1,2018-05-16,single
7K7MUBCnzgBAvMVW2RTWNs,6t1gpxYbY8OlLA7D2RiikQ,,Loud Luxury,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs,60,163216,False,7fesgWyA3ehM0OFK14B9xR,1,2017-10-27,single
7K7MUBCnzgBAvMVW2RTWNs,5uEeqYFuIChoWKy34jp8xE,,Brando,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs,60,163216,False,7fesgWyA3ehM0OFK14B9xR,1,2017-10-27,single
01IQ4aQgOf0Kkq3a273hmO,6Ip8FS7vWT1uKkJSweANQK,f93bac9e-b20a-403e-abc9-06a2fc151df1,Dave,https://open.spotify.com/track/01IQ4aQgOf0Kkq3a273hmO,70,182741,False,3CFVTstiXfXZDHF6EeMnGf,1,2018-10-04,single
01IQ4aQgOf0Kkq3a273hmO,3rbtPd0NcvhO2AzMfzx90z,,Fredo,https://open.spotify.com/track/01IQ4aQgOf0Kkq3a273hmO,70,182741,False,3CFVTstiXfXZDHF6EeMnGf,1,2018-10-04,single
7tFiyTwD0nx5a1eklYtX2J,1dfeR4HaWDbWqFHLkxsg1d,0383dadf-2a4e-4d10-a46a-e9e041da8eb3,Queen,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J,74,354320,False,6X9k3hSsvQck2OfKYdBbXr,11,1975-11-21,album
1TEL6MlSSVLSdhOSddidlJ,66CXWjxzNUsdJxJ2JdwvnR,f4fdbb4c-e4b7-47a0-b83b-d91bbfcfa387,Ariana Grande,https://open.spotify.com/track/1TEL6MlSSVLSdhOSddidlJ,74,171573,False,2fYhqwDWXjbpjaIJPEfKFw,2,2019-02-08,album
2hloaUoRonYssMuqLCBLTX,66CXWjxzNUsdJxJ2JdwvnR,f4fdbb4c-e4b7-47a0-b83b-d91bbfcfa387,Ariana Grande,https://open.spotify.com/track/2hloaUoRonYssMuqLCBLTX,72,216893,False,2fYhqwDWXjbpjaIJPEfKFw,4,2019-02-08,album
29R1IMTTbDDA3VNlk6UEW5,4Q6nIcaBED8qUel8bBx6Cr,a2507d4d-3387-4d31-a6e8-f2c9794fb37e,Jax Jones,https://open.spotify.com/track/29R1IMTTbDDA3VNlk6UEW5,62,186240,False,7ugwbZf0nbP0s2s3IaiU70,1,2018-11-28,single
