track_spotifyID,track_url,id,name,artist_mbid
6ocbgoVGwYJhOv1GgI9NsF,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,f4fdbb4c-e4b7-47a0-b83b-d91bbfcfa387
5WHTFyqSii0lmT9R21abT8,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8,1MIVXf74SZHmTIp4V4paH4,Mabel,3a592f93-5c88-4b7c-a10f-8eb3dcbadde7
6MWtB6iiXyIwun0YzU6DFP,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,246dkjvS1zLTtiykXe5h60,Post Malone,b1e26560-60e5-4236-bbdb-9aa5a8d5ee19
4y3OI86AEP6PQoDE6olYhO,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO,7gOdHgIoIKoe4i9Tta6qdD,Jonas Brothers,6e019bc6-5c23-4935-94f0-4a896631d846
6Qs4SXO9dwPj5GKvVOv8Ki,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki,2wY79sveU1sp5g7SokKOiI,Sam Smith,5a85c140-dcf9-4dd2-b2c8-aff0471549f3
6Qs4SXO9dwPj5GKvVOv8Ki,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki,2cWZOOzeOm4WmBJRnD5R7I,Normani,04d93730-f81c-450c-8441-d5f5fcf98485
2VxeLyX666F8uXCJ0dZF8B,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,1HY2Jd0NmPuamShAr6KMms,Lady Gaga,650e7db6-b795-4eb5-a702-5ea2fc46c848
2VxeLyX666F8uXCJ0dZF8B,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,4VIvfOurcf0vuLRxLkGnIG,Bradley Cooper,
2cytBOLpwFRX7J9URCrFIe,https://open.spotify.com/track/2cytBOLpwFRX7J9URCrFIe,31Ua7zSTJxegjyd49ujbSA,NSG,
2cytBOLpwFRX7J9URCrFIe,https://open.spotify.com/track/2cytBOLpwFRX7J9URCrFIe,7b79bQFziJFedJb75k6hFt,Tion Wayne,
7dbka99KTWke5o9hRp0JoB,https://open.spotify.com/track/7dbka99KTWke5o9hRp0JoB,246dkjvS1zLTtiykXe5h60,Post Malone,b1e26560-60e5-4236-bbdb-9aa5a8d5ee19
7dbka99KTWke5o9hRp0JoB,https://open.spotify.com/track/7dbka99KTWke5o9hRp0JoB,1zNqQNIdeOUZHb8zbZRFMX,Swae Lee,a17ce9c3-8f6f-4dcc-a1b7-2a04ab9e31f0
4NzMOnvSJVNKF7nw5NkXIP,https://open.spotify.com/track/4NzMOnvSJVNKF7nw5NkXIP,6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,f4abc0b5-3f7a-4eff-8f78-ac078dbce533
25sgk305KZfyuqVBQIahim,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,4npEfmQ6YuiwW1GpUmaq3F,Ava Max,add5f522-25df-41c4-815e-0ca9f60b83e4
03x2rVJRFUrvwlfxoHd9Mo,https://open.spotify.com/track/03x2rVJRFUrvwlfxoHd9Mo,7z2avKuuiMAT4XZJFv8Rvh,Tom Walker,84354abd-2ead-48a3-9690-6627d917b605
7COXchtUOMd6uIT6HvmRaI,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI,5JZ7CnR6gTvEMKX4g70Amv,Lauv,c0ef2ba5-a7b7-40ea-bd27-30acccfcac11
7COXchtUOMd6uIT6HvmRaI,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI,3WGpXCj9YhhfX11TToZcXP,Troye Sivan,e5712ceb-c37a-4c49-a11c-ccf4e21852d4
3e9HZxeyfWwjeyPAMmWSSQ,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,f4fdbb4c-e4b7-47a0-b83b-d91bbfcfa387
7eBqSVxrzQZtK2mmgRG6lC,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC,1cNDP5yjU5vjeR8qMf4grg,YNW Melly,59d6cea7-3771-4ce6-8c02-395ac5ba927a
0rTV5WefWd1J3OwIheTzxM,https://open.spotify.com/track/0rTV5WefWd1J3OwIheTzxM,6LuN9FCkKOj5PcnpouEgny,Khalid,28737730-ec70-4da5-89c5-77ac13c5c34d
0rTV5WefWd1J3OwIheTzxM,https://open.spotify.com/track/0rTV5WefWd1J3OwIheTzxM,6nS5roXSAGhTGr34W6n7Et,Disclosure,ae65c507-d9a0-4d42-9a6c-2b1f82158b9f
2IRZnDFmlqMuOrYOLnZZyc,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc,20sxb77xiYeusSH8cVdatc,Meek Mill,31bcadcc-e1da-4cad-bec8-2f4f1d41b095
2IRZnDFmlqMuOrYOLnZZyc,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc,3TVXtAsR1Inumwj472S9r4,Drake,9fff2f8a-21e6-47de-a2b8-7f449929d43f
2JvzF1RMd7lE3KmFlsyZD8,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8,6l3HvQ5sa6mXTsMTB19rO5,J. Cole,875203e1-8e58-4b86-8dcb-7190faf411c5
2dpaYNEQHiRxtZbfNsse99,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,64KEffDW9EtZ1y2vBYgq8T,Marshmello,301b45a4-b8b9-410e-8344-4b4eaf96691a
2dpaYNEQHiRxtZbfNsse99,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,7EQ0qTo7fWT7DPxmxtSYEc,Bastille,7808accb-6395-4b25-858c-678bbb73896b
1fp2uoWXPca3mIdxRHIgQm,https://open.spotify.com/track/1fp2uoWXPca3mIdxRHIgQm,1Gm0kKaDx4GH6pQF88rjSK,Cadet,
1fp2uoWXPca3mIdxRHIgQm,https://open.spotify.com/track/1fp2uoWXPca3mIdxRHIgQm,58ICshZ0AgBMNJiLHK3U8l,Deno,
27rdGxbavYJeBphck5MZAF,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF,3hv9jJF3adDNsBSIQDqcjp,Mark Ronson,c3c82bdc-d9e7-4836-9746-c24ead47ca19
27rdGxbavYJeBphck5MZAF,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF,5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,7e9bd05a-117f-4cce-87bc-e011527a8b18
0PG9fbaaHFHfre2gUVo7AN,https://open.spotify.com/track/0PG9fbaaHFHfre2gUVo7AN,4kYSro6naA4h99UJvo89HB,Cardi B,2f3c4d70-0462-40da-bba3-0aec5772c556
0PG9fbaaHFHfre2gUVo7AN,https://open.spotify.com/track/0PG9fbaaHFHfre2gUVo7AN,0du5cEVh5yTK9QJze8zA0C,Bruno Mars,afb680f2-b6eb-4cd7-a70b-a63b25c763d5
1ogmtYEsS4ywfLIhMee5bu,https://open.spotify.com/track/1ogmtYEsS4ywfLIhMee5bu,5r3fI2q1YU3QyVP7oncOQ9,The Plug,d919078e-7db6-4c84-9061-1c36e0ec454a
1ogmtYEsS4ywfLIhMee5bu,https://open.spotify.com/track/1ogmtYEsS4ywfLIhMee5bu,757aE44tKEUQEqRuT6GnEB,Roddy Ricch,5721c227-4caf-48b1-bbfc-1a4ed3276963
1ogmtYEsS4ywfLIhMee5bu,https://open.spotify.com/track/1ogmtYEsS4ywfLIhMee5bu,5AbLpsnTQVNB3OEadYiVrK,Yxng Bane,
1ogmtYEsS4ywfLIhMee5bu,https://open.spotify.com/track/1ogmtYEsS4ywfLIhMee5bu,0tJCNteqwm7LmRZ6KWr8GT,Chip,8ec6bf47-d22f-4a2f-b930-0f7feb10ea3f
